folio,region,comuna,pco1,sexo,edad,ecivil,yaimcorh,yautcor,ytotcor,yautcorh,ymonecorh,ytotcorh,yoprcor,yoprcorh,ytrabajocor,ytrabajocorh,ypchautcor,ypc,ypchtrabajo,esc,educ,depen
1312110171401,13,13121,10,2,27,8,200000,NA,18459,780000,1028706,1228706,NA,NA,NA,540000,130000,204784,90000,13,7,10
510110100301,5,5101,4,1,21,8,0,NA,NA,720635,720635,720635,NA,NA,NA,720635,240212,240212,240212,13,9,8
730720031601,7,7307,4,1,7,8,100000,NA,NA,1200000,1200000,1300000,NA,NA,NA,1200000,240000,260000,240000,NA,1,1
730110050201,7,7301,1,1,37,8,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,15,8,NA
1420430011801,14,14204,1,2,76,7,85000,8333,116663,8333,116663,201663,NA,NA,8333,8333,8333,201663,8333,4,1,NA
1311911130901,13,13119,4,1,9,8,250000,NA,11091,400000,444325,694325,NA,NA,NA,400000,100000,173581,100000,NA,1,2
1312310410101,13,13123,2,2,36,1,65000,1000000,1000000,4115833,4115833,4180833,1000000,1000000,1000000,4115833,1028958,1045208,1028958,17,11,NA
1510111340801,15,15101,2,2,65,1,200000,NA,NA,370000,389091,589091,NA,NA,NA,250000,92500,147273,62500,7,1,NA
1311510570301,13,13115,2,2,62,1,800000,955082,955082,1203082,1203082,2003082,955082,955082,955082,955082,601541,1001541,477541,17,11,NA
410610080201,4,4106,10,2,7,8,220000,NA,NA,650000,657368,877368,NA,NA,NA,650000,162500,219342,162500,NA,1,2
310111560101,3,3101,2,2,54,1,250000,216667,216667,433334,443334,693334,200000,200000,200000,400000,216667,346667,200000,11,3,NA
510910801001,5,5109,10,1,0,8,0,NA,NA,500000,500000,500000,NA,NA,NA,500000,100000,100000,100000,NA,0,NA
1350420012701,13,13504,1,1,39,1,0,802500,810486,802500,810486,810486,800000,800000,802500,802500,160500,162097,160500,15,9,NA
630110320301,6,6301,1,1,54,2,200000,300000,300000,576000,583986,783986,300000,300000,300000,576000,192000,261329,192000,12,5,NA
1120110720101,11,11201,13,1,2,8,300000,NA,11091,539667,575114,875114,NA,NA,NA,271667,179889,291705,90556,NA,0,5
620220021901,6,6202,2,1,58,1,100000,610000,610000,1060000,1060000,1160000,500000,500000,610000,1060000,353333,386667,353333,8,2,NA
1410110850301,14,14101,5,2,16,8,300000,NA,NA,600000,600000,900000,NA,NA,NA,600000,300000,450000,300000,8,2,1
631030061101,6,6310,2,2,48,1,150000,NA,NA,541250,541250,691250,NA,NA,NA,541250,108250,138250,108250,8,2,NA
810110362301,8,8101,4,1,2,8,0,NA,NA,844167,848469,848469,NA,NA,NA,724167,168833,169694,144833,NA,0,NA
1510113630601,15,15101,1,1,40,1,0,1002917,1002917,1152917,1152917,1152917,1000000,1000000,1002917,1152917,576459,576459,576459,17,11,NA
811110090301,8,8111,4,1,42,8,18000,388333,388333,638750,642434,660434,260000,260000,378333,378750,212917,220145,126250,12,6,NA
810210090501,8,8102,1,2,67,8,300000,250000,306684,440000,514684,814684,NA,NA,NA,190000,146667,271561,63333,12,5,NA
611510162201,6,6115,1,1,67,1,300000,125000,125000,757500,757500,1057500,NA,NA,NA,632500,189375,264375,158125,12,5,NA
410210840301,4,4102,1,1,41,2,250000,480000,488000,480000,499091,749091,400000,400000,480000,480000,160000,249697,160000,12,5,NA
1330330031001,13,13303,5,2,11,8,120000,NA,2889,380000,393379,513379,NA,NA,NA,300000,190000,256690,150000,NA,1,1
1420410190201,14,14204,4,2,13,8,120000,NA,4815,453681,483368,603368,NA,NA,NA,453681,113420,150842,113420,NA,2,1
1360210030601,13,13602,5,2,3,8,180000,NA,11091,100000,129550,309550,NA,NA,NA,0,50000,154775,0,NA,0,2
1330230080601,13,13302,10,1,2,8,300000,NA,NA,3725000,3725000,4025000,NA,NA,NA,3600000,465625,503125,450000,NA,0,NA
420130011401,4,4201,11,1,68,8,150000,NA,109578,0,323802,473802,NA,NA,NA,0,0,157934,0,10,4,NA
1310510211601,13,13105,13,2,20,2,120000,NA,NA,840000,840000,960000,NA,NA,NA,840000,210000,240000,210000,9,4,NA
842030021201,16,16207,1,1,62,1,60000,287520,287520,487520,592166,652166,257520,257520,287520,487520,97504,130433,97504,3,1,NA
110111871201,1,1101,10,2,3,8,350000,NA,NA,2459999,2564645,2914645,NA,NA,NA,2459999,307500,364331,307500,NA,0,2
1510112480501,15,15101,5,2,16,8,0,NA,NA,590083,603695,603695,NA,NA,NA,390083,196694,201232,130028,8,2,2
811210430701,8,8112,4,1,1,8,0,NA,NA,1544167,1555837,1555837,NA,NA,NA,1544167,386042,388959,386042,NA,0,NA
911230041801,9,9112,4,1,4,8,160000,NA,NA,250000,250000,410000,NA,NA,NA,250000,62500,102500,62500,NA,0,NA
610420030501,6,6104,5,2,45,8,10000,400000,400000,1258171,1362817,1372817,400000,400000,400000,1258171,179739,196117,179739,11,4,NA
1210113011001,12,12101,1,2,46,1,350000,120000,151194,120000,151194,501194,120000,120000,120000,120000,40000,167065,40000,9,4,NA
420310060201,4,4203,2,2,84,1,250000,NA,104646,721667,830313,1080313,NA,NA,NA,591667,240556,360104,197222,6,2,NA
